EMPID,HIREDATE,SALARY,DPT,JOBCODE,SEX
119012,01Jul1973,42340.58,CSR010,602,F
120591,05Dec1985,31000.55,SHP002,602,F
127845,16Jan1972,75320.34,ACC024,204,M
129540,01Aug1987,56123.34,SHP002,204,F
135673,15Jul1989,46322.58,ACC013,602,F
212916,15Feb1958,52345.58,CSR010,602,F
216382,15Jun1990,34004.65,SHP013,602,F
234967,19Dec1993,17000,CSR004,602,M
237642,01Nov1981,43200.34,SHP013,602,M
239185,07May1986,57920.66,ACC024,602,M
254896,04Apr1990,35000.74,CSR011,204,M
321783,10Sep1972,48931.58,CSR011,602,M
328140,10Jan1980,75000.34,ACC043,1204,F
346917,02Mar1992,46000.33,SHP013,204,F
356134,14Jun1990,62450.75,ACC013,204,F
423286,19Dec1993,32870.66,ACC024,602,M
456910,14Jun1983,45000.58,CSR010,602,M
456921,19Aug1992,33210.04,SHP002,602,M
457232,15Jul1990,55000.66,ACC013,602,M
459287,02Nov1969,50000,SHP024,204,M
677890,12Dec1993,37610,CSR010,204,F
